contract,sky,date
0x173a1c04b79ed9266721c1154daa29addc0b9558,2449847486.1025987,2025-06-30
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2122609346.1507835,2025-06-30
0xfc48fbca739079aab08216c4d5e506b96593753d,954360094.1787525,2025-06-30
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382687013.39209545,2025-06-30
0xe01684b17df0abbdaf97839277b194be4e1a7e79,29770463.521744706,2025-06-30
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28660134.520263862,2025-06-30
0x555230eca835a808518ec3ea3082f05502bab850,17780822.16589569,2025-06-30
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,7550663.904027194,2025-06-30
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3341050.9294772893,2025-06-30
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-30
0x2c89024c13a80bc1b662a3db990524652c15221c,3179.9250616820254,2025-06-30
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-30
0x173a1c04b79ed9266721c1154daa29addc0b9558,2556547908.7611775,2025-06-29
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2122057328.8414845,2025-06-29
0xfc48fbca739079aab08216c4d5e506b96593753d,952859542.8765305,2025-06-29
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382709079.580139,2025-06-29
0xe01684b17df0abbdaf97839277b194be4e1a7e79,34196313.771197915,2025-06-29
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28842064.520263862,2025-06-29
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-29
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3341050.9294772893,2025-06-29
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2976290.261541744,2025-06-29
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-29
0x2c89024c13a80bc1b662a3db990524652c15221c,3179.9250616820254,2025-06-29
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-29
0x173a1c04b79ed9266721c1154daa29addc0b9558,2556212428.6446304,2025-06-28
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2122057328.8414845,2025-06-28
0xfc48fbca739079aab08216c4d5e506b96593753d,952696072.7729362,2025-06-28
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382687013.39209545,2025-06-28
0xe01684b17df0abbdaf97839277b194be4e1a7e79,33063674.608867504,2025-06-28
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28839924.37224541,2025-06-28
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-28
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3888612.218555035,2025-06-28
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3341050.9294772893,2025-06-28
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-28
0x2c89024c13a80bc1b662a3db990524652c15221c,3179.9250616820254,2025-06-28
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-28
0x173a1c04b79ed9266721c1154daa29addc0b9558,2555298787.1439195,2025-06-27
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2120218465.3234456,2025-06-27
0xfc48fbca739079aab08216c4d5e506b96593753d,952696072.7729362,2025-06-27
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382584568.18284553,2025-06-27
0xe01684b17df0abbdaf97839277b194be4e1a7e79,33063674.608867504,2025-06-27
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28839924.37224541,2025-06-27
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-27
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3888612.218555035,2025-06-27
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3341050.9294772893,2025-06-27
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-27
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-27
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-27
0x173a1c04b79ed9266721c1154daa29addc0b9558,2529937122.314913,2025-06-26
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117884957.9378455,2025-06-26
0xfc48fbca739079aab08216c4d5e506b96593753d,952404160.7729362,2025-06-26
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-26
0xe01684b17df0abbdaf97839277b194be4e1a7e79,33037502.118085522,2025-06-26
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-26
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-26
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-26
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2777675.143855606,2025-06-26
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-26
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-26
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-26
0x173a1c04b79ed9266721c1154daa29addc0b9558,2524186405.6464424,2025-06-25
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117419758.490555,2025-06-25
0xfc48fbca739079aab08216c4d5e506b96593753d,952141811.3369523,2025-06-25
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-25
0xe01684b17df0abbdaf97839277b194be4e1a7e79,32974392.691155497,2025-06-25
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-25
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-25
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-25
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2777675.143855606,2025-06-25
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-25
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-25
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-25
0x173a1c04b79ed9266721c1154daa29addc0b9558,2523885792.209638,2025-06-24
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117608692.9144094,2025-06-24
0xfc48fbca739079aab08216c4d5e506b96593753d,952097816.832581,2025-06-24
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-24
0xe01684b17df0abbdaf97839277b194be4e1a7e79,32834974.571890898,2025-06-24
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-24
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-24
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-24
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2674156.5532223764,2025-06-24
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-24
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-24
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-24
0x173a1c04b79ed9266721c1154daa29addc0b9558,2524322003.2210946,2025-06-23
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117381303.191288,2025-06-23
0xfc48fbca739079aab08216c4d5e506b96593753d,952117809.631081,2025-06-23
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-23
0xe01684b17df0abbdaf97839277b194be4e1a7e79,31988432.122592192,2025-06-23
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-23
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-23
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-23
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2674156.5532223764,2025-06-23
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-23
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-23
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-23
0x173a1c04b79ed9266721c1154daa29addc0b9558,2522370817.315011,2025-06-22
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108518002.714363,2025-06-22
0xfc48fbca739079aab08216c4d5e506b96593753d,952075703.8528298,2025-06-22
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382532837.62864554,2025-06-22
0xe01684b17df0abbdaf97839277b194be4e1a7e79,31988432.122592192,2025-06-22
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-22
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-22
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-22
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2660641.6732223765,2025-06-22
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-22
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-22
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-22
0x173a1c04b79ed9266721c1154daa29addc0b9558,2514075065.6539507,2025-06-21
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108615833.7290888,2025-06-21
0xfc48fbca739079aab08216c4d5e506b96593753d,951977391.3084977,2025-06-21
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382532837.62864554,2025-06-21
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30929989.305382747,2025-06-21
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-21
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-21
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-21
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2657141.6732223765,2025-06-21
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-21
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-21
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-21
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513942423.337628,2025-06-20
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108116860.60198,2025-06-20
0xfc48fbca739079aab08216c4d5e506b96593753d,952485834.1613091,2025-06-20
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382529140.10759944,2025-06-20
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30929989.305382747,2025-06-20
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-20
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-20
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-20
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2657141.6732223765,2025-06-20
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-20
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-20
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-20
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513704745.2810726,2025-06-19
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2107896925.9443974,2025-06-19
0xfc48fbca739079aab08216c4d5e506b96593753d,952383411.7497874,2025-06-19
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382529140.10759944,2025-06-19
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30925510.638396967,2025-06-19
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-19
0x555230eca835a808518ec3ea3082f05502bab850,17322289.48429569,2025-06-19
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-19
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2652141.6732223765,2025-06-19
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-19
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-19
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-19
0x173a1c04b79ed9266721c1154daa29addc0b9558,2513301229.8249545,2025-06-18
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2105494428.0113297,2025-06-18
0xfc48fbca739079aab08216c4d5e506b96593753d,952365315.368161,2025-06-18
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382406609.4282929,2025-06-18
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30866979.469136663,2025-06-18
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-18
0x555230eca835a808518ec3ea3082f05502bab850,17322289.48429569,2025-06-18
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-18
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2602141.6732223765,2025-06-18
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-18
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-18
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-18
0x173a1c04b79ed9266721c1154daa29addc0b9558,2501923467.778771,2025-06-17
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2105494428.0113297,2025-06-17
0xfc48fbca739079aab08216c4d5e506b96593753d,952347348.4992197,2025-06-17
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382382386.4875232,2025-06-17
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30866979.469136663,2025-06-17
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28831130.836761866,2025-06-17
0x555230eca835a808518ec3ea3082f05502bab850,16912413.847271655,2025-06-17
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3726704.6657223767,2025-06-17
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-17
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-17
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-17
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-17
0x173a1c04b79ed9266721c1154daa29addc0b9558,2501775972.2513556,2025-06-16
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2104813493.0715077,2025-06-16
0xfc48fbca739079aab08216c4d5e506b96593753d,952232903.4424303,2025-06-16
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382365360.8875232,2025-06-16
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30826616.721488718,2025-06-16
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28826320.291612122,2025-06-16
0x555230eca835a808518ec3ea3082f05502bab850,16912413.847271655,2025-06-16
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3681883.444122377,2025-06-16
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-16
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-16
